local,trilha,tipo,título,palestrante,horario
TIC,Barco de fogo,palestra,Como Análise de Dados com Python me ajudou a correr melhor!,Marcel Caraciolo,1
TIC,Barco de fogo,palestra,Analisando dados do ENCEEJA com Python + PowerBI,Anne Kelly,2
TIC,Barco de fogo,palestra,Os três primeiros meses de 2020 - Análise com Python do primeiro impacto do covid-19 ,Luis Vinicius,3
TIC,Barco de fogo,palestra,De montando UTI de Covid para ir montar layout: o que aprendi na transição de carreira?,Jules,4
TIC,Barco de fogo,palestra,Qual a história que você vai contar,Rafa Mengui,5
TIC,Barco de fogo,palestra,Sankofa: retornar ao passado para entender o presente e reconstruir o futuro na educação brasileira,Lorena Pereira,6
TIC,Barco de fogo,palestra,Python para usuários de planilhas,Anicely,7
TIC,Barco de fogo,palestra,"Segurança na internet para crianças e adolescentes, uma análise em diferentes ângulos.",Marianna Ariel,8
TIC,Barco de fogo,palestra,Machine Learning em Python para detecção de fraudes no uso de cartão de crédito,Sandra Rosa,9
TIC,Barco de fogo,palestra,Crie Aplicações facilmente utilizando Streamlit,Fernanda Santos,10
TIC,Barco de fogo,palestra,Vieses Algorítmicos e Como Combatê-los,Luiz Fernando,11
TIC,Barco de fogo,palestra,Testes em aplicações de processamento de dados,Mayara Machado,12
TIC,Barco de fogo,palestra,Como tentei ficar rico automatizando apostas online,Wanderson Silva,13
UNIT,Tototó,palestra,Pythinder: usando Kivy para não ficar no vácuo,Alynne ,14
UNIT,Tototó,palestra,Processamento de dados em tempo real com PySpark,Natan Nascimento,15
UNIT,Tototó,palestra,Testando seu codigo Python com Pytest,Betim,16
UNIT,Tototó,palestra,Astrofísica & Python: Um Elo Essencial.,Vitória,17
UNIT,Tototó,palestra,Escrevendo testes melhores com Model-bakery,Higor Monteiro,18
UNIT,Tototó,palestra,Impacto da qualidade de imagem por ressonância magnética em deep neural network,Carlos Leandro,19
UNIT,Tototó,palestra,Deploy de aplicações Django com serverless no Google Cloud Run,Lidiane,20
UNIT,Tototó,palestra,Uso e importância de dados abertos municipais,Bruna,21
UNIT,Tototó,palestra,Uitlizando Ipyannotator para anotações de tráfego ,Ítalo Epifânio,22
UNIT,Tototó,palestra,Como estamos melhorando a gestão de demandas com Python: Um case de ETL com Python + Asana,Bruno Zamberlan,23
UNIT,Tototó,palestra,Caçando exoplanetas com python,Ellias Matheus,24
UNIT,Tototó,palestra,Código como lei: implementando e explicando web3 com web2,Rebeca Sarai,25
Lab 1,Xingó,workshop,Jornalismo de Dados em Python,Alexandre e Gabriela,26
Lab 1,Xingó,workshop,"Processamento de Linguagem Natural em Python: ""De Cabo a Rabo""",Pedro Assis,27
Lab 1,Xingó,palestra,Visualização de Dados Abertos com Python,Adolfo,28
Lab 1,Xingó,palestra,Memória não é confiável: Gestão de Conhecimento para times de engenharia,Hugo Bessa,29
Lab 1,Xingó,palestra,Desmistificando a ORM do Django,Gabriela Leal,30
Lab 1,Xingó,palestra,Aplicações Python em PaaS: 2022,Luiz Claudio,31
Lab 1,Xingó,palestra,Tipagem dinâmica e estática em Python,Anthoni Jatobá,32
Lab 1,Xingó,palestra,Como fazer uma apresentação de ciência de dados para quem não entende muito sobre dados,Antônio Ramos,33
Lab 2,Reisado,palestra,Coletando dados do Twitter com Python,Adolfo Guimarães,34
Lab 2,Reisado,workshop,Programação com Flowgorithm (Hands on Python),Kadidja e Kerlla,35
Lab 2,Reisado,workshop,Passo-a-passo da criação do seu portal de dados abertos com o CKAN.,Lucas Emanuel,36
Lab 2,Reisado,palestra,Sua aplicação web aguenta o tranco?,Claudio,37
Lab 2,Reisado,workshop,"Ingerindo dados com pacote open-source Ingestum, casos de dados estruturados e não estruturados",Gustavo RPS,38
Lab 2,Reisado,workshop,Detecção de Objetos “From Zero to Hero”,Angelo Menezes,39
Lab3,aleatoria,palestra,teste de palestra,alguem,40
